ficomp adc cwde
adc cwde adc
cwde adc stc
adc stc or
stc or jns
or jns push
jns push imul
push imul jmp
imul jmp jb
jmp jb ror
jb ror ljmp
ror ljmp fisttp
ljmp fisttp push
fisttp push test
push test or
test or mov
or mov dec
mov dec push
dec push cmp
push cmp push
cmp push cld
push cld lcall
cld lcall sub
lcall sub cmp
sub cmp push
cmp push sub
push sub sar
sub sar dec
sar dec lodsd
dec lodsd or
lodsd or cmp
or cmp xchg
cmp xchg cdq
xchg cdq adc
cdq adc imul
adc imul pop
imul pop ret
pop ret in
ret in pushfd
in pushfd or
pushfd or out
or out test
out test jns
test jns or
jns or mov
or mov aas
mov aas push
aas push mov
push mov or
mov or adc
or adc push
adc push pcmpgtd
push pcmpgtd push
pcmpgtd push imul
push imul xchg
imul xchg push
xchg push out
push out pcmpgtd
out pcmpgtd clc
pcmpgtd clc push
clc push cld
push cld mov
cld mov or
mov or retf
or retf push
retf push pcmpgtd
push pcmpgtd push
pcmpgtd push pcmpgtd
push pcmpgtd push
pcmpgtd push mov
push mov iret
mov iret push
iret push pcmpgtd
push pcmpgtd mov
pcmpgtd mov adc
mov adc mov
adc mov cmpsb
mov cmpsb push
cmpsb push push
push push jb
push jb push
jb push pcmpgtd
push pcmpgtd push
pcmpgtd push idiv
push idiv sar
idiv sar push
sar push mov
push mov xor
