sal cmp or
cmp or in
or in std
in std xor
std xor jb
xor jb cmp
jb cmp lahf
cmp lahf dec
lahf dec ror
dec ror pop
ror pop jp
pop jp pushal
jp pushal add
pushal add push
add push das
push das int3
das int3 adc
int3 adc jecxz
adc jecxz sbb
jecxz sbb fmul
sbb fmul adc
fmul adc jo
adc jo cmp
jo cmp stc
cmp stc sahf
stc sahf ror
sahf ror int3
ror int3 mov
int3 mov sbb
mov sbb enter
sbb enter div
enter div and
div and cld
and cld ja
cld ja enter
ja enter jno
enter jno push
jno push mov
push mov mov
mov mov push
mov push mov
push mov mov
mov mov shl
mov shl push
shl push mov
push mov xor
mov xor pop
xor pop xor
pop xor shr
xor shr add
shr add add
add add add
add add pop
add pop push
pop push mov
push mov sub
mov sub pop
sub pop xor
pop xor xor
xor xor xor
xor xor pop
xor pop push
pop push mov
push mov push
mov push mov
push mov push
mov push mov
push mov dec
mov dec xor
dec xor add
xor add pop
add pop push
pop push mov
push mov push
mov push mov
push mov mov
mov mov pop
mov pop sub
pop sub pop
sub pop xchg
pop xchg mov
xchg mov mov
mov mov call
mov call int3
call int3 mov
int3 mov push
mov push mov
push mov add
mov add push
add push mov
push mov inc
mov inc push
inc push mov
push mov push
mov push push
push push mov
push mov and
mov and xor
and xor mov
xor mov pop
mov pop inc
pop inc add
inc add sub
add sub pop
sub pop and
pop and pop
and pop neg
pop neg neg
neg neg add
neg add add
add add add
add add sub
add sub pop
sub pop xchg
pop xchg pop
xchg pop push
pop push push
push push mov
push mov add
mov add push
add push mov
push mov push
mov push mov
push mov add
mov add pop
add pop add
pop add xor
add xor xor
xor xor xor
xor xor pop
xor pop push
pop push push
push push mov
push mov shl
mov shl dec
shl dec push
dec push mov
push mov dec
mov dec add
dec add shl
add shl sub
shl sub sub
sub sub pop
sub pop dec
pop dec xor
dec xor push
xor push mov
push mov mov
mov mov pop
mov pop mov
pop mov add
mov add shl
add shl shr
shl shr shr
shr shr add
shr add sub
add sub add
sub add add
add add pop
add pop push
pop push mov
push mov mov
mov mov sub
mov sub push
sub push mov
push mov add
mov add push
add push mov
push mov add
mov add add
add add xor
add xor xor
xor xor xor
xor xor pop
xor pop sub
pop sub add
sub add cmp
add cmp jne
cmp jne push
jne push mov
push mov mov
mov mov push
mov push mov
push mov and
mov and pop
and pop push
pop push push
push push mov
push mov shl
mov shl and
shl and sub
and sub shl
sub shl sub
shl sub mov
sub mov pop
mov pop push
pop push mov
push mov add
mov add pop
add pop sub
pop sub add
sub add pop
add pop mov
pop mov pop
mov pop sub
pop sub push
sub push push
push push mov
push mov push
mov push push
push push pop
push pop shr
pop shr xor
shr xor xor
xor xor mov
xor mov pop
mov pop sub
pop sub pop
sub pop mov
pop mov push
mov push mov
push mov mov
mov mov add
mov add pop
add pop add
pop add sub
add sub mov
sub mov add
mov add push
add push push
push push push
push push mov
push mov push
mov push pop
push pop add
pop add sub
add sub push
sub push mov
push mov push
mov push pop
push pop pop
pop pop mov
pop mov mov
mov mov sub
mov sub mov
sub mov push
mov push push
push push pop
push pop add
pop add push
add push mov
push mov add
mov add pop
add pop sub
pop sub xchg
sub xchg pop
xchg pop mov
pop mov call
mov call push
call push push
push push pop
push pop sub
pop sub add
sub add add
add add sub
add sub sub
sub sub mov
sub mov mov
mov mov add
mov add pop
add pop mov
pop mov add
mov add mov
add mov mov
mov mov push
mov push mov
push mov sub
mov sub mov
sub mov push
mov push mov
push mov add
mov add add
add add pop
add pop push
pop push mov
push mov add
mov add pop
add pop xchg
pop xchg pop
xchg pop push
pop push mov
push mov push
mov push mov
push mov add
mov add add
add add xchg
add xchg pop
xchg pop push
pop push mov
push mov mov
mov mov add
mov add add
add add xchg
add xchg mov
xchg mov ret
mov ret push
ret push mov
push mov sub
mov sub push
sub push pop
push pop push
pop push push
push push push
push push mov
push mov mov
mov mov add
mov add pop
add pop mov
pop mov pop
mov pop sub
pop sub add
sub add add
add add pop
add pop pop
pop pop pushal
pop pushal sub
pushal sub mov
sub mov push
mov push pop
push pop add
pop add sub
add sub xchg
sub xchg pop
xchg pop mov
pop mov push
mov push pop
push pop sub
pop sub add
sub add add
add add mov
add mov pop
mov pop push
pop push push
push push pop
push pop push
pop push mov
push mov add
mov add push
add push mov
push mov add
mov add pop
add pop xor
pop xor xor
xor xor xor
xor xor pop
xor pop shr
