cdq jns add
jns add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add cwde
add cwde jecxz
cwde jecxz add
jecxz add xchg
add xchg or
xchg or add
or add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add dec
add dec sub
dec sub sub
sub sub sub
sub sub cmp
sub cmp add
cmp add sub
add sub sub
sub sub push
sub push sub
push sub inc
sub inc sub
inc sub add
sub add add
add add sub
add sub add
sub add or
add or add
or add add
add add xor
add xor add
xor add add
add add adc
add adc adc
adc adc pavgb
adc pavgb jno
pavgb jno add
jno add add
add add add
add add add
add add insb
add insb add
insb add add
add add add
add add add
add add push
add push cmp
push cmp add
cmp add add
add add cmp
add cmp add
cmp add add
add add adc
add adc add
adc add add
add add sgdt
add sgdt add
sgdt add add
add add add
add add sgdt
add sgdt add
sgdt add add
add add adc
add adc add
adc add pop
add pop adc
pop adc cmp
adc cmp add
cmp add add
add add or
add or add
or add push
add push push
push push push
push push sbb
push sbb push
sbb push push
push push pop
push pop jle
pop jle add
jle add add
add add or
add or add
or add pop
add pop ficom
pop ficom imul
ficom imul add
imul add sbb
add sbb outsd
sbb outsd or
outsd or add
or add or
add or pop
or pop adc
pop adc sti
adc sti add
sti add add
add add sub
add sub pop
sub pop adc
pop adc sub
adc sub push
sub push pop
push pop adc
pop adc sbb
adc sbb push
sbb push dec
push dec inc
dec inc push
inc push inc
push inc push
inc push push
push push pop
push pop adc
pop adc sub
adc sub jle
sub jle add
jle add add
add add dec
add dec jle
dec jle add
jle add add
add add sbb
add sbb outsd
sbb outsd or
outsd or add
or add outsd
add outsd or
outsd or add
or add add
add add push
add push push
push push dec
push dec pop
dec pop salc
pop salc push
salc push add
push add push
add push sbb
push sbb sbb
sbb sbb pop
sbb pop salc
pop salc push
salc push push
push push sbb
push sbb push
sbb push pop
push pop or
pop or push
or push push
push push pop
push pop dec
pop dec push
dec push push
push push pop
push pop or
pop or dec
or dec jle
