jnp adc les
adc les or
les or mov
or mov add
mov add rol
add rol adc
rol adc and
adc and dec
and dec ret
dec ret pushal
ret pushal mov
pushal mov dec
mov dec mov
dec mov add
mov add inc
add inc add
inc add pop
add pop jb
pop jb adc
jb adc adc
adc adc xchg
adc xchg pcmpgtd
xchg pcmpgtd add
pcmpgtd add wait
add wait pcmpgtd
wait pcmpgtd mov
pcmpgtd mov sbb
mov sbb add
sbb add mov
add mov jmp
mov jmp pcmpgtd
jmp pcmpgtd test
pcmpgtd test and
test and out
and out add
out add cmp
add cmp add
cmp add xchg
add xchg pcmpgtd
xchg pcmpgtd mov
pcmpgtd mov pcmpgtd
mov pcmpgtd lodsb
pcmpgtd lodsb add
lodsb add mov
add mov out
mov out or
out or jecxz
or jecxz adc
jecxz adc in
adc in add
in add and
add and add
and add xchg
add xchg cwd
xchg cwd mov
cwd mov add
mov add inc
add inc out
inc out push
out push mov
push mov sbb
mov sbb mov
sbb mov adc
mov adc and
adc and sbb
and sbb ror
sbb ror adc
ror adc mov
adc mov jae
mov jae pcmpgtd
jae pcmpgtd jecxz
pcmpgtd jecxz inc
jecxz inc mov
inc mov xchg
mov xchg add
xchg add add
add add mov
add mov out
mov out add
out add inc
add inc lodsd
inc lodsd add
lodsd add leave
add leave add
leave add jo
add jo push
jo push cdq
push cdq pcmpgtd
cdq pcmpgtd xchg
pcmpgtd xchg pcmpgtd
xchg pcmpgtd adc
pcmpgtd adc mov
adc mov add
mov add and
add and and
and and imul
