les retf jae
retf jae fisttp
jae fisttp mov
fisttp mov inc
mov inc jbe
inc jbe cmp
jbe cmp inc
cmp inc frstor
inc frstor sbb
frstor sbb mov
sbb mov int1
mov int1 sbb
int1 sbb pushal
sbb pushal int
pushal int cld
int cld inc
cld inc or
inc or salc
or salc sbb
salc sbb in
sbb in jmp
in jmp aam
jmp aam in
aam in jg
in jg add
jg add insd
add insd push
insd push pop
push pop imul
pop imul push
imul push inc
push inc cli
inc cli xchg
cli xchg mov
xchg mov pop
mov pop mov
pop mov lea
mov lea push
lea push mov
push mov inc
mov inc sub
inc sub and
sub and push
and push fsubr
push fsubr mov
fsubr mov fucomip
mov fucomip fisubr
fucomip fisubr rcr
fisubr rcr mov
rcr mov push
mov push hlt
push hlt mov
hlt mov push
mov push je
push je fcomp
je fcomp mov
fcomp mov pop
mov pop dec
pop dec sar
dec sar shr
sar shr inc
shr inc push
inc push pop
push pop das
pop das loopne
das loopne adc
loopne adc into
adc into jb
into jb inc
jb inc loopne
inc loopne adc
loopne adc cmp
adc cmp sbb
cmp sbb jle
sbb jle mov
jle mov pushal
mov pushal inc
pushal inc movsd
inc movsd xor
movsd xor and
xor and mov
and mov jg
mov jg pop
jg pop push
pop push mov
push mov sub
mov sub enter
sub enter and
enter and salc
and salc test
salc test outsd
test outsd or
outsd or dec
or dec pop
dec pop imul
pop imul inc
imul inc jge
inc jge dec
jge dec add
dec add mov
add mov aad
mov aad mov
aad mov push
mov push push
push push mov
push mov dec
mov dec sbb
dec sbb push
sbb push adc
push adc ljmp
adc ljmp xchg
ljmp xchg pop
xchg pop mov
pop mov retf
mov retf mov
retf mov int3
mov int3 mov
int3 mov fincstp
mov fincstp adc
fincstp adc push
adc push inc
push inc or
inc or add
or add push
add push cmp
push cmp or
cmp or dec
or dec sub
dec sub sti
sub sti push
sti push in
push in aam
in aam ja
aam ja pop
ja pop ja
pop ja and
ja and int1
and int1 fbstp
int1 fbstp xlatb
