nop lds add
lds add add
add add add
add add add
add add add
add add add
add add add
add add add
add add inc
add inc add
inc add push
add push sbb
push sbb add
sbb add cwde
add cwde aaa
cwde aaa xor
aaa xor add
xor add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add sbb
add sbb add
sbb add push
add push sub
push sub add
sub add ljmp
add ljmp add
ljmp add push
add push sub
push sub add
sub add sbb
add sbb add
sbb add aam
add aam add
aam add add
add add add
add add add
add add add
add add add
add add outsd
add outsd add
outsd add add
add add add
add add add
add add add
add add add
add add add
add add jb
add jb add
jb add jo
add jo add
jo add add
add add jb
add jb add
jb add jo
add jo add
jo add add
add add jle
add jle add
jle add add
add add sbb
add sbb add
sbb add add
add add add
add add sub
add sub jo
sub jo push
jo push add
push add add
add add sbb
add sbb add
sbb add add
add add add
add add sub
add sub add
sub add or
add or add
or add add
add add adc
add adc add
adc add push
add push add
push add add
add add sub
add sub add
sub add outsd
add outsd or
outsd or add
or add or
add or daa
or daa jae
daa jae add
jae add push
add push and
push and add
and add or
add or add
or add add
add add push
add push cmp
push cmp or
cmp or add
or add jae
add jae add
jae add or
add or or
or or add
or add adc
add adc sub
adc sub rcr
sub rcr adc
