jg ja mov
ja mov test
mov test jne
test jne pop
jne pop add
pop add mov
add mov push
mov push je
push je push
je push push
push push mov
push mov or
mov or add
or add salc
add salc add
salc add pop
add pop adc
pop adc pop
adc pop div
pop div and
div and dec
and dec mov
dec mov ret
mov ret mov
ret mov fcmovnb
mov fcmovnb jle
fcmovnb jle or
jle or xchg
or xchg lodsb
xchg lodsb nop
lodsb nop add
nop add pushal
add pushal div
pushal div aas
div aas jnp
aas jnp fldcw
jnp fldcw cmp
fldcw cmp push
cmp push or
push or push
or push push
push push mov
push mov jne
mov jne add
jne add inc
add inc mov
inc mov call
mov call xlatb
call xlatb pop
xlatb pop test
pop test jl
test jl sbb
jl sbb inc
sbb inc into
inc into fsubr
into fsubr imul
fsubr imul mov
imul mov and
mov and sub
and sub mov
sub mov dec
mov dec stosd
dec stosd je
stosd je jbe
je jbe sti
jbe sti lds
sti lds push
lds push rep movsd
push rep movsd and
rep movsd and lea
and lea xchg
lea xchg xor
xchg xor pushfd
xor pushfd and
pushfd and push
and push mov
push mov add
mov add jmp
add jmp mov
jmp mov sbb
mov sbb mov
sbb mov add
mov add mov
add mov fist
mov fist je
fist je daa
je daa add
daa add je
add je push
je push je
push je out
je out xchg
out xchg xchg
xchg xchg and
xchg and adc
and adc je
adc je push
je push adc
push adc jnp
adc jnp xchg
jnp xchg add
xchg add sbb
add sbb cmp
sbb cmp adc
cmp adc or
