sti xchg nop
xchg nop add
nop add add
add add add
add add mov
add mov add
mov add add
add add xor
add xor sbb
xor sbb popfd
sbb popfd add
popfd add daa
add daa add
daa add adc
add adc mov
adc mov pop
mov pop jle
pop jle shr
jle shr add
shr add mov
add mov jmp
mov jmp push
jmp push cwde
push cwde in
cwde in xchg
in xchg insb
xchg insb leave
insb leave and
leave and je
and je pop
je pop fsub
pop fsub dec
fsub dec insb
dec insb insb
insb insb rcr
insb rcr sbb
rcr sbb adc
sbb adc adc
adc adc and
adc and adc
and adc sbb
adc sbb daa
sbb daa iretd
daa iretd pop
iretd pop add
pop add jl
add jl jae
jl jae dec
jae dec xchg
dec xchg cmpsb
xchg cmpsb jae
cmpsb jae dec
jae dec jae
dec jae mov
jae mov out
mov out add
out add je
add je je
je je jne
je jne and
jne and cmpsb
and cmpsb jne
cmpsb jne adc
jne adc in
adc in xor
in xor ja
xor ja ja
ja ja adc
ja adc xchg
adc xchg add
xchg add xchg
add xchg inc
xchg inc salc
inc salc ror
salc ror dec
ror dec jns
dec jns jp
jns jp fnstenv
jp fnstenv adc
fnstenv adc jnp
adc jnp popal
jnp popal jge
popal jge test
jge test test
test test push
test push jge
push jge iretd
jge iretd sahf
iretd sahf mov
sahf mov jg
mov jg push
jg push cmp
push cmp and
cmp and xchg
and xchg adc
xchg adc outsb
adc outsb jns
outsb jns jmp
jns jmp cmpsd
jmp cmpsd mov
cmpsd mov aam
mov aam mov
aam mov enter
mov enter jno
enter jno xchg
jno xchg add
xchg add mov
add mov xchg
mov xchg cmp
xchg cmp mov
cmp mov xchg
mov xchg in
xchg in inc
in inc mov
inc mov and
mov and xchg
and xchg pop
xchg pop mov
pop mov imul
mov imul cdq
imul cdq add
cdq add lds
add lds add
lds add rcr
add rcr les
rcr les xchg
les xchg xchg
xchg xchg add
xchg add xchg
add xchg dec
xchg dec xchg
dec xchg push
xchg push rcr
push rcr daa
rcr daa or
daa or sbb
or sbb inc
sbb inc pop
inc pop xchg
pop xchg popfd
xchg popfd dec
popfd dec sahf
dec sahf inc
sahf inc jle
inc jle sbb
jle sbb add
sbb add popfd
add popfd lahf
popfd lahf pop
lahf pop push
pop push add
push add mov
add mov or
mov or mov
or mov add
mov add dec
add dec push
dec push fadd
push fadd call
fadd call or
call or in
or in dec
in dec jle
dec jle cmc
jle cmc scasb
cmc scasb cld
scasb cld pop
cld pop ud2b
pop ud2b scasd
ud2b scasd sahf
scasd sahf cmp
sahf cmp shr
cmp shr mov
shr mov xchg
mov xchg daa
xchg daa dec
daa dec inc
dec inc mov
inc mov mov
mov mov mov
mov mov push
mov push xor
push xor fucom
xor fucom lodsd
fucom lodsd mov
lodsd mov mov
mov mov mov
mov mov test
mov test inc
test inc jb
inc jb mov
jb mov mov
mov mov jp
mov jp mov
jp mov wait
mov wait imul
wait imul add
imul add aaa
add aaa inc
aaa inc salc
inc salc je
salc je aaa
je aaa mov
aaa mov aaa
mov aaa xor
aaa xor mov
xor mov mov
mov mov xchg
mov xchg xchg
xchg xchg sbb
