out cmc push
cmc push js
push js xchg
js xchg sbb
xchg sbb js
sbb js xchg
js xchg sbb
xchg sbb js
sbb js add
js add js
add js or
js or js
or js or
js or js
or js pop
js pop sbb
pop sbb imul
sbb imul sbb
imul sbb js
sbb js popfd
js popfd sbb
popfd sbb js
sbb js popfd
js popfd sbb
popfd sbb js
sbb js lahf
js lahf sbb
lahf sbb js
sbb js add
js add js
add js mov
js mov js
mov js loop
js loop js
loop js pop
js pop sbb
pop sbb rol
sbb rol js
rol js inc
js inc adc
inc adc js
adc js js
js js test
js test js
test js popfd
js popfd sbb
popfd sbb js
sbb js aas
js aas sbb
aas sbb js
sbb js xchg
js xchg js
xchg js rcr
js rcr js
rcr js add
js add js
add js sbb
js sbb js
sbb js push
js push adc
push adc aad
adc aad js
aad js adc
js adc js
adc js ret
js ret sbb
ret sbb dec
sbb dec lds
dec lds push
