mov and add
and add add
add add dec
add dec add
dec add add
add add add
add add add
add add add
add add add
add add add
add add push
add push add
push add push
add push adc
push adc push
adc push add
push add sbb
add sbb add
sbb add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add or
add or add
or add or
add or add
or add add
add add add
add add add
add add add
add add or
add or add
or add add
add add add
