lodsb cmp add
cmp add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add or
add or add
or add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add push
add push sub
push sub add
sub add sub
add sub add
sub add sub
add sub add
sub add sub
add sub push
sub push sub
push sub add
sub add or
add or adc
or adc add
adc add and
add and add
and add add
add add add
add add jb
add jb add
jb add jo
add jo or
jo or add
or add jae
add jae add
jae add or
add or add
or add or
add or push
or push outsd
push outsd adc
outsd adc add
adc add outsd
add outsd adc
outsd adc add
adc add push
add push inc
push inc sub
inc sub xor
sub xor add
xor add add
add add add
add add add
add add jb
add jb add
jb add jo
add jo or
jo or add
or add jae
add jae add
jae add or
add or add
or add or
add or push
or push outsd
push outsd adc
outsd adc add
adc add outsd
add outsd adc
outsd adc add
adc add push
add push inc
push inc sub
inc sub xor
sub xor add
xor add add
add add add
add add add
add add jb
add jb add
jb add jo
add jo or
jo or add
or add jb
add jb add
jb add jo
add jo or
jo or add
or add jb
add jb add
jb add jo
add jo or
jo or add
or add sub
add sub adc
sub adc push
adc push add
push add or
add or push
or push jb
push jb add
jb add jo
add jo or
jo or add
or add outsd
add outsd pop
outsd pop add
pop add or
add or add
or add jo
add jo or
jo or add
or add outsd
add outsd pop
outsd pop add
pop add or
add or add
or add jo
add jo or
jo or add
or add outsd
add outsd pop
outsd pop add
pop add or
add or add
or add jo
add jo or
jo or add
or add outsd
add outsd pop
outsd pop add
pop add or
add or push
or push sub
push sub sub
sub sub add
sub add xor
add xor add
xor add add
add add add
add add add
add add jae
add jae add
jae add or
add or jb
or jb add
jb add jo
add jo or
jo or add
or add add
add add sbb
add sbb add
sbb add jae
add jae add
jae add or
add or pop
or pop outsd
pop outsd adc
outsd adc add
adc add outsd
add outsd sbb
outsd sbb add
sbb add or
add or and
or and outsd
and outsd sbb
outsd sbb add
sbb add je
add je add
je add add
add add sbb
add sbb push
sbb push add
push add or
add or add
or add or
add or add
or add or
add or outsd
or outsd and
outsd and add
and add sub
add sub sub
sub sub or
sub or add
or add or
add or fiadd
or fiadd fiadd
fiadd fiadd push
fiadd push sub
push sub sbb
sub sbb add
sbb add add
add add add
add add push
add push add
push add add
add add add
add add add
add add sbb
add sbb inc
sbb inc arpl
inc arpl add
arpl add add
add add add
add add xor
add xor jno
xor jno add
jno add add
add add add
add add pop
add pop or
pop or add
or add add
add add or
add or add
or add mov
add mov add
mov add jo
add jo or
jo or add
or add mov
add mov add
mov add jo
add jo or
jo or add
or add mov
add mov add
mov add jo
add jo or
jo or add
or add mov
add mov add
mov add jo
add jo or
jo or add
or add mov
add mov add
mov add jo
add jo or
jo or add
or add mov
add mov add
mov add jo
add jo or
jo or add
or add mov
add mov add
mov add jo
add jo or
jo or add
or add mov
add mov add
mov add jo
add jo or
jo or add
or add mov
add mov pop
mov pop add
pop add or
add or add
or add mov
add mov stosd
mov stosd add
stosd add jo
add jo or
jo or add
or add mov
add mov mov
mov mov add
mov add or
add or add
or add mov
add mov mov
mov mov or
mov or add
or add mov
add mov add
mov add jecxz
add jecxz add
jecxz add and
add and add
and add outsd
add outsd adc
outsd adc add
adc add sub
add sub add
sub add sub
add sub add
sub add add
add add sub
add sub add
sub add add
add add push
add push adc
push adc add
adc add jae
add jae add
jae add or
add or add
or add add
add add add
add add sub
add sub add
sub add sub
add sub pop
sub pop jb
pop jb add
jb add jo
add jo or
jo or add
or add outsd
add outsd sbb
outsd sbb push
sbb push pop
push pop jb
pop jb add
jb add jo
add jo or
jo or add
or add outsd
add outsd sbb
outsd sbb push
sbb push add
push add or
add or add
or add or
add or add
or add add
add add sub
add sub pop
sub pop or
pop or aas
or aas pop
aas pop jb
pop jb add
jb add jo
add jo or
jo or add
or add outsd
add outsd sbb
outsd sbb push
sbb push pop
push pop jb
pop jb add
jb add jo
add jo or
jo or add
or add outsd
add outsd sbb
outsd sbb push
sbb push add
push add or
add or add
or add or
add or add
or add add
add add sub
add sub pop
sub pop or
pop or pop
or pop fiadd
pop fiadd fiadd
fiadd fiadd push
fiadd push sub
push sub sub
sub sub add
sub add add
add add add
add add add
add add mov
add mov mov
mov mov add
mov add adc
add adc add
adc add push
add push add
push add sub
add sub add
sub add sub
add sub xor
sub xor add
xor add add
add add add
add add sub
add sub add
sub add or
add or or
or or mov
or mov or
mov or cmpsd
or cmpsd add
cmpsd add add
add add pop
add pop or
pop or add
or add or
add or add
or add or
add or inc
or inc sub
inc sub push
sub push outsd
push outsd sub
outsd sub adc
sub adc sub
adc sub add
sub add pop
add pop push
pop push inc
push inc sub
inc sub push
sub push adc
push adc sub
adc sub add
sub add or
add or add
or add or
add or outsd
or outsd sub
outsd sub adc
sub adc sub
adc sub add
sub add pop
add pop adc
pop adc add
adc add push
add push adc
push adc sub
adc sub add
sub add or
add or add
or add or
add or adc
or adc sub
adc sub add
sub add or
add or add
or add or
add or outsd
or outsd sub
outsd sub adc
sub adc sub
adc sub add
sub add and
add and add
and add add
add add add
add add push
add push adc
push adc sub
adc sub add
sub add or
add or add
or add or
add or adc
or adc sub
adc sub add
sub add or
add or add
or add or
add or adc
or adc sub
adc sub add
sub add or
add or add
or add or
add or pop
or pop pop
pop pop or
pop or add
or add add
add add or
add or dec
