pop clc imul
clc imul add
imul add add
add add add
add add add
add add add
add add add
add add iretd
add iretd add
iretd add add
add add add
add add add
add add add
add add loopne
add loopne add
loopne add dec
add dec pop
dec pop push
pop push add
push add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add or
add or daa
or daa add
daa add or
add or pop
or pop add
pop add push
add push add
push add add
add add or
add or xchg
or xchg add
xchg add sub
add sub add
sub add or
add or push
or push sub
push sub add
sub add or
add or pop
or pop sub
pop sub add
sub add or
add or pop
or pop sub
pop sub add
sub add add
add add sub
add sub inc
sub inc add
inc add or
add or add
or add outsd
add outsd js
outsd js add
js add sub
add sub add
sub add or
add or push
or push add
push add das
add das add
das add or
add or into
or into jae
into jae add
jae add or
add or jae
or jae add
jae add or
add or jae
or jae add
jae add or
add or jae
or jae add
jae add or
add or jae
or jae add
jae add or
add or sub
or sub jle
sub jle add
jle add add
add add xor
add xor jle
xor jle add
jle add add
add add add
add add or
add or jle
or jle add
jle add add
add add aaa
add aaa add
aaa add or
add or jle
or jle add
jle add add
add add cmp
add cmp add
cmp add sub
add sub jle
sub jle add
jle add add
add add cmp
add cmp add
cmp add sub
add sub jle
sub jle add
jle add add
add add sub
add sub add
sub add or
add or jb
or jb add
jb add jo
add jo add
jo add cmp
add cmp add
cmp add outsd
add outsd cmp
outsd cmp add
cmp add jae
add jae add
jae add or
add or jle
or jle add
jle add add
add add sbb
add sbb add
sbb add add
add add push
add push add
push add sub
add sub or
sub or add
or add jb
add jb add
jb add jo
add jo pop
jo pop add
pop add add
add add add
add add or
add or jle
or jle or
jle or add
or add jb
add jb add
jb add jo
add jo pop
jo pop add
pop add add
add add aas
add aas add
aas add or
add or inc
or inc add
inc add or
add or add
or add sub
add sub or
sub or add
or add jb
add jb add
jb add jo
add jo pop
jo pop add
pop add add
add add add
add add or
add or jle
or jle or
jle or add
or add jb
add jb add
jb add jo
add jo pop
jo pop add
pop add add
add add aas
add aas add
aas add or
add or inc
or inc add
inc add or
add or add
or add sub
add sub or
sub or add
or add jb
add jb add
jb add jo
add jo pop
jo pop add
pop add add
add add aas
add aas add
aas add or
add or inc
or inc add
inc add or
add or add
or add sub
add sub push
sub push sub
push sub add
sub add je
add je add
je add add
add add jae
add jae add
jae add or
add or inc
or inc add
inc add or
add or sub
or sub add
sub add inc
add inc add
inc add or
add or pop
or pop sub
pop sub add
sub add push
add push outsd
push outsd inc
outsd inc add
inc add or
add or sub
or sub add
sub add outsd
add outsd inc
outsd inc add
inc add or
add or sbb
or sbb add
sbb add push
add push add
push add add
add add add
add add adc
add adc add
adc add add
add add inc
add inc jle
inc jle add
jle add add
add add push
add push sub
push sub add
sub add push
add push or
push or adc
or adc sub
adc sub add
sub add jle
add jle add
jle add add
add add sbb
add sbb pop
sbb pop add
pop add push
add push adc
push adc push
adc push adc
push adc dec
adc dec add
dec add or
add or add
or add or
add or or
or or add
or add or
add or sub
or sub push
sub push sub
push sub add
sub add fdivr
add fdivr add
fdivr add add
add add add
add add add
add add add
add add add
add add adc
add adc or
adc or add
or add add
add add jb
add jb add
jb add jo
add jo dec
jo dec add
dec add or
add or dec
or dec add
dec add or
add or dec
or dec add
dec add add
add add jo
