pushal les add
les add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add sbb
add sbb add
sbb add and
add and add
and add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add sbb
add sbb add
sbb add sub
add sub jae
sub jae add
jae add or
add or jae
or jae add
jae add or
add or jae
or jae add
jae add or
add or jae
or jae add
jae add or
add or jae
or jae add
jae add or
add or sub
or sub jle
sub jle add
jle add add
add add and
add and add
and add sub
add sub jle
sub jle add
jle add add
add add and
add and add
and add sub
add sub jle
sub jle add
jle add add
add add and
add and add
and add sub
add sub jle
sub jle add
jle add add
add add and
add and add
and add sub
add sub add
sub add and
add and add
and add sub
add sub add
sub add or
add or daa
or daa add
daa add or
add or push
or push add
push add sub
add sub add
sub add sub
add sub rol
sub rol add
rol add sub
add sub add
sub add or
add or push
or push add
push add sub
add sub add
sub add sub
add sub mov
sub mov add
mov add sbb
add sbb add
sbb add sub
add sub sub
sub sub sub
sub sub add
sub add mov
add mov add
mov add sbb
add sbb add
sbb add sub
add sub or
sub or add
or add or
add or bound
or bound add
bound add add
add add add
add add add
add add add
add add jge
add jge add
jge add add
add add jnp
add jnp add
jnp add add
add add xchg
add xchg add
xchg add jnp
add jnp add
jnp add add
add add add
add add add
add add jb
add jb add
jb add jo
add jo sub
jo sub add
sub add jl
add jl add
jl add add
add add add
add add add
add add sub
add sub rol
sub rol add
rol add add
add add sub
add sub add
sub add sub
add sub add
sub add or
add or push
or push outsd
push outsd cmp
outsd cmp add
cmp add add
add add outsd
add outsd cmp
outsd cmp add
cmp add add
add add outsd
add outsd cmp
outsd cmp push
cmp push outsd
push outsd add
outsd add or
add or inc
or inc add
inc add push
add push add
push add push
add push outsd
push outsd adc
outsd adc add
adc add outsd
add outsd inc
outsd inc add
inc add or
add or dec
or dec add
dec add inc
add inc add
inc add or
add or jae
or jae add
jae add or
add or add
or add add
add add xor
add xor jae
xor jae add
jae add or
add or add
or add add
add add sbb
add sbb add
sbb add add
add add push
add push add
push add sub
add sub jb
sub jb add
jb add jo
add jo sldt
jo sldt add
sldt add jae
add jae add
jae add push
add push adc
push adc add
adc add sub
add sub add
sub add push
add push sub
push sub sub
sub sub add
sub add add
add add or
add or loop
or loop xor
loop xor add
xor add rcl
add rcl add
rcl add add
add add sub
add sub add
sub add sub
add sub add
sub add push
add push sub
push sub add
sub add sub
add sub add
sub add push
add push rcl
push rcl add
rcl add add
add add sub
add sub add
sub add sub
add sub add
sub add push
add push sub
push sub add
sub add push
add push sub
push sub sub
sub sub and
sub and add
and add add
add add add
add add add
add add cmp
add cmp add
cmp add sub
add sub add
sub add and
add and sbb
and sbb or
sbb or sub
or sub and
sub and add
and add inc
add inc inc
inc inc pop
