dec and add
and add int
add int fldcw
int fldcw push
fldcw push imul
push imul out
imul out imul
out imul push
imul push push
push push sahf
push sahf or
sahf or mov
or mov push
mov push inc
push inc pop
inc pop sub
pop sub das
sub das pop
das pop sahf
pop sahf das
sahf das les
das les mov
les mov inc
mov inc xchg
inc xchg push
xchg push xchg
push xchg push
xchg push xchg
push xchg push
xchg push or
push or neg
or neg push
neg push salc
push salc xchg
salc xchg cwde
xchg cwde xchg
cwde xchg cld
xchg cld retf
cld retf dec
retf dec mov
dec mov lcall
mov lcall push
lcall push sahf
push sahf sub
sahf sub shl
sub shl mov
shl mov out
