shl movsb add
movsb add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add out
add out add
out add enter
add enter inc
enter inc rcr
inc rcr add
rcr add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add push
add push add
push add add
add add or
add or cmp
or cmp sub
cmp sub add
sub add or
add or add
or add add
add add or
add or add
or add xor
add xor add
xor add add
add add add
add add add
add add adc
add adc jne
adc jne add
jne add sbb
add sbb add
sbb add sbb
add sbb sub
sbb sub sub
sub sub add
sub add or
add or jnp
or jnp add
jnp add or
add or jnp
or jnp add
jnp add or
add or add
or add or
add or push
or push sub
push sub sub
sub sub xchg
sub xchg aam
xchg aam sub
aam sub movsd
sub movsd pop
movsd pop sub
pop sub add
sub add or
add or jnp
or jnp add
jnp add or
add or add
or add or
add or add
or add xor
add xor add
xor add add
add add add
add add add
add add adc
add adc add
adc add add
add add lea
add lea add
lea add add
add add add
add add or
add or adc
or adc and
adc and sbb
and sbb add
sbb add adc
add adc or
adc or push
or push add
push add add
add add outsd
add outsd and
outsd and add
and add mov
add mov or
mov or push
or push add
push add add
add add or
add or push
or push add
push add add
add add or
add or push
or push add
push add add
add add or
add or jb
or jb sub
jb sub add
sub add or
add or add
or add add
add add or
add or add
or add daa
add daa add
daa add or
add or add
or add or
add or add
or add xor
add xor add
xor add add
add add add
add add add
add add add
add add add
add add sbb
add sbb add
sbb add dec
add dec push
dec push sub
push sub sub
sub sub add
sub add or
add or jnp
or jnp add
jnp add or
add or jnp
or jnp add
jnp add or
add or add
or add or
add or sub
or sub add
sub add or
add or jnp
or jnp add
jnp add or
add or jnp
or jnp add
jnp add or
add or add
or add or
add or sub
or sub add
sub add or
add or jnp
or jnp add
jnp add or
add or jnp
or jnp add
jnp add or
add or add
or add or
add or push
or push sub
push sub sub
sub sub add
sub add adc
add adc add
adc add dec
add dec add
dec add add
add add add
add add add
add add adc
add adc push
adc push push
push push movsd
push movsd pop
movsd pop sub
pop sub add
sub add or
add or jnp
or jnp add
jnp add or
add or add
or add or
add or sub
or sub movsd
sub movsd pop
movsd pop sub
pop sub add
sub add or
add or jnp
or jnp add
jnp add or
add or add
or add or
add or sub
or sub movsd
sub movsd pop
movsd pop sub
pop sub add
sub add or
add or jnp
or jnp add
jnp add or
add or add
or add or
add or add
or add xor
add xor add
xor add add
add add adc
add adc pop
adc pop add
pop add jo
add jo lea
jo lea add
lea add add
add add add
add add or
add or adc
or adc and
adc and sbb
and sbb add
sbb add adc
add adc or
adc or push
or push add
push add add
add add outsd
add outsd and
outsd and add
and add mov
add mov daa
mov daa add
daa add or
add or adc
or adc and
adc and sbb
and sbb add
sbb add adc
add adc or
adc or push
or push pop
push pop add
pop add sbb
add sbb add
sbb add or
add or sub
or sub add
sub add or
add or add
or add sbb
add sbb add
sbb add adc
add adc or
adc or push
or push or
push or add
or add outsd
add outsd and
outsd and add
and add mov
add mov or
mov or add
or add sbb
add sbb add
sbb add mov
add mov add
mov add adc
add adc add
adc add or
add or jb
or jb add
jb add jo
add jo sub
jo sub add
sub add or
add or xor
or xor add
xor add or
add or pop
or pop outsd
pop outsd xor
outsd xor add
xor add sub
add sub add
sub add or
add or outsd
or outsd xor
outsd xor add
xor add push
add push xor
push xor outsd
xor outsd xor
outsd xor retf
xor retf add
retf add jo
add jo add
jo add or
add or jb
or jb add
jb add jo
add jo add
jo add or
add or or
or or add
or add jo
add jo add
jo add or
add or mov
or mov add
mov add or
add or aaa
or aaa add
aaa add or
add or jecxz
or jecxz add
jecxz add add
add add or
add or mov
or mov add
mov add or
add or aaa
or aaa add
aaa add or
add or adc
or adc cmp
adc cmp add
cmp add jae
add jae add
jae add or
add or add
or add push
add push sub
push sub push
sub push outsd
push outsd cmp
outsd cmp add
cmp add fcomp
add fcomp add
fcomp add fiadd
add fiadd adc
