cmpsd dec mov
dec mov add
mov add add
add add dec
add dec add
dec add add
add add add
add add add
add add add
add add add
add add add
add add add
add add push
add push jl
push jl add
jl add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add or
add or cmp
or cmp sub
cmp sub add
sub add or
add or add
or add add
add add or
add or add
or add xor
add xor add
xor add add
add add add
add add add
add add adc
add adc jne
adc jne add
jne add sbb
add sbb add
sbb add push
add push push
push push sub
push sub sub
sub sub add
sub add or
add or jnp
or jnp add
jnp add or
add or jnp
or jnp add
jnp add or
add or add
or add or
add or add
or add sub
add sub pop
sub pop sub
pop sub xchg
sub xchg aam
xchg aam sub
aam sub movsd
sub movsd pop
movsd pop sub
pop sub add
sub add or
add or jnp
or jnp add
jnp add or
add or add
or add or
add or add
or add add
add add xor
add xor add
xor add add
add add add
add add add
add add adc
add adc add
adc add add
add add lea
add lea add
lea add add
add add add
add add or
add or adc
or adc and
adc and sbb
and sbb add
sbb add adc
add adc or
adc or push
or push add
push add add
add add outsd
add outsd add
outsd add or
add or or
or or push
or push add
push add add
add add or
add or push
or push add
push add add
add add or
add or push
or push add
push add add
add add or
add or jb
or jb sub
jb sub add
sub add or
add or add
or add add
add add or
add or add
or add sub
add sub add
sub add add
add add or
add or add
or add xor
add xor add
xor add add
add add add
add add add
add add add
add add add
add add sbb
add sbb add
sbb add dec
add dec push
dec push sub
push sub sub
sub sub add
sub add or
add or jnp
or jnp add
jnp add or
add or jnp
or jnp add
jnp add or
add or add
or add or
add or sub
or sub add
sub add or
add or jnp
or jnp add
jnp add or
add or jnp
or jnp add
jnp add or
add or add
or add or
add or sub
or sub jnp
sub jnp add
jnp add or
add or jnp
or jnp add
jnp add or
add or add
or add or
add or add
or add sub
add sub pop
sub pop sub
pop sub adc
sub adc add
adc add dec
add dec add
dec add add
add add add
add add add
add add adc
add adc push
adc push push
push push movsd
push movsd pop
movsd pop sub
pop sub add
sub add or
add or jnp
or jnp add
jnp add or
add or add
or add or
add or sub
or sub movsd
sub movsd pop
movsd pop sub
pop sub add
sub add or
add or jnp
or jnp add
jnp add or
add or add
or add or
add or sub
or sub movsd
sub movsd pop
movsd pop sub
pop sub jnp
sub jnp add
jnp add or
add or add
or add or
add or add
or add xor
add xor add
xor add add
add add adc
add adc pop
adc pop add
pop add jo
add jo lea
jo lea add
lea add add
add add add
add add or
add or adc
or adc and
adc and sbb
and sbb add
sbb add adc
add adc or
adc or push
or push add
push add add
add add outsd
add outsd add
outsd add or
add or sub
or sub add
sub add or
add or add
or add sbb
add sbb add
sbb add adc
add adc or
adc or push
or push pop
push pop add
pop add sbb
add sbb add
sbb add or
add or sub
or sub add
sub add or
add or add
or add sbb
add sbb add
sbb add adc
add adc or
adc or push
or push or
push or add
or add outsd
add outsd add
outsd add or
add or or
or or add
or add sbb
add sbb add
sbb add in
add in add
in add add
add add add
add add add
add add or
add or add
or add add
add add jo
add jo sub
jo sub add
sub add or
add or xor
or xor add
xor add or
add or pop
or pop outsd
pop outsd xor
outsd xor add
xor add or
add or sub
or sub or
sub or add
or add or
add or inc
or inc adc
inc adc add
adc add add
add add add
add add or
add or outsd
or outsd aaa
outsd aaa add
aaa add or
add or add
or add jo
add jo cmp
jo cmp add
cmp add adc
add adc adc
adc adc jo
adc jo cmp
jo cmp add
cmp add adc
add adc add
adc add add
add add adc
add adc adc
adc adc sub
adc sub add
sub add add
add add jo
add jo cmp
jo cmp add
cmp add push
