out cmc lodsb
cmc lodsb push
lodsb push xchg
push xchg stosd
xchg stosd push
stosd push inc
push inc lahf
inc lahf push
lahf push push
push push stosd
push stosd push
stosd push pop
push pop stosd
pop stosd push
stosd push js
push js push
js push xchg
push xchg stosd
xchg stosd push
stosd push popfd
push popfd stosd
popfd stosd push
stosd push rcr
push rcr push
rcr push mov
push mov push
mov push loop
push loop push
loop push inc
push inc stosb
inc stosb push
stosb push inc
push inc lahf
inc lahf push
lahf push sahf
push sahf stosd
sahf stosd push
stosd push aas
push aas stosd
aas stosd push
stosd push xchg
push xchg push
xchg push stosd
push stosd push
stosd push ret
push ret stosb
ret stosb push
stosb push fstp
push fstp push
fstp push inc
push inc lahf
inc lahf push
lahf push nop
push nop stosd
nop stosd push
